sex_male,race_white,employed_yes,years_experience,experience_category,referred,a_levels,gcse,russel_group,honours,years_volunteer,income,it_skills,years_holes,quality_cv
1,0,1,7,>=6,1,4,7,1,1,1,46585.68529491556,3,0,2
0,1,0,6,>=6,0,1,4,0,0,0,22295.122969146025,1,0,2
1,1,1,6,>=6,1,4,6,1,0,1,41416.704429150006,3,0,2
1,1,1,9,>=6,1,3,7,0,0,0,71827.57447868539,3,0,3
0,1,1,3,2-4,1,3,6,0,0,0,52368.38434623686,2,0,3
1,1,1,4,4-6,1,3,9,0,0,0,32788.22418129022,3,0,2
1,1,1,5,4-6,1,3,4,0,0,0,53926.721994961445,3,0,3
1,1,1,5,4-6,1,1,2,0,0,2,18494.348317306765,3,0,2
0,1,0,0,0-2,0,2,7,0,0,0,0,1,0,2
1,1,1,4,4-6,1,3,6,0,0,0,23411.108753889544,3,0,2
1,1,1,4,4-6,1,4,8,0,1,3,21072.212500870624,2,0,3
0,1,1,6,>=6,1,4,7,1,1,2,85762.49074869571,0,1,1
1,1,1,3,2-4,1,4,7,1,0,2,10199.234326694117,3,0,1
1,1,1,4,4-6,1,4,5,1,1,1,80649.3997448282,3,0,3
0,0,0,2,2-4,0,1,7,0,0,0,27786.777113068714,1,2,1
1,0,1,2,2-4,1,3,5,0,1,0,43874.80675945624,3,0,2
0,1,1,1,0-2,1,2,4,0,0,0,29294.20511840081,1,0,2
0,0,1,1,0-2,0,0,5,0,0,0,21743.45178645513,1,2,1
0,1,1,1,0-2,1,2,4,0,0,0,46460.9889117227,2,0,2
0,0,1,2,2-4,0,2,7,0,1,2,0,1,2,1
0,0,0,3,2-4,0,1,3,0,0,2,45558.11051145654,1,2,2
0,1,0,4,4-6,0,1,9,0,0,0,30432.990853053954,0,2,2
0,0,1,7,>=6,1,2,6,0,0,0,40718.13428241718,0,0,3
1,0,1,6,>=6,1,3,6,0,1,1,46431.396983521176,3,1,3
0,0,0,1,0-2,0,1,7,0,0,2,28932.004949094982,0,0,0
0,0,0,1,0-2,0,3,7,0,0,0,44662.14648070188,1,0,1
1,1,1,4,4-6,1,4,9,1,0,0,35142.0946532327,3,0,3
0,0,0,1,0-2,0,1,5,0,0,2,10634.72085134149,1,0,1
1,0,0,1,0-2,1,0,3,0,0,2,25420.945559199696,2,1,1
0,1,1,6,>=6,1,4,8,1,1,1,46683.63945663595,1,0,2
0,0,0,3,2-4,1,2,6,0,0,0,43708.74784834328,1,0,1
1,1,0,2,2-4,1,1,2,0,0,0,31587.096816262154,1,0,1
1,1,0,3,2-4,1,2,5,0,0,0,23676.967964712378,2,1,1
0,1,0,1,0-2,0,3,5,0,0,1,27598.746728105056,0,0,2
1,0,1,2,2-4,1,2,7,0,0,0,57589.62852884451,3,1,3
0,1,1,1,0-2,0,4,7,1,1,3,13824.003059970135,3,0,1
0,1,1,1,0-2,1,4,5,1,0,0,46182.56392453027,1,0,3
0,1,0,1,0-2,0,3,6,0,0,0,33706.2399241274,0,0,1
1,1,1,3,2-4,1,4,8,0,1,1,44882.89440789235,3,0,1
0,1,0,1,0-2,1,1,7,0,0,0,25661.57763798529,0,0,1
0,0,0,4,4-6,0,2,3,0,1,1,22839.507328288233,1,1,3
0,1,1,4,4-6,0,3,6,0,0,2,50518.7846221756,0,1,3
0,1,0,3,2-4,0,1,5,0,0,0,44090.800820110904,0,0,2
1,0,0,2,2-4,1,2,6,0,0,1,0,2,0,1
1,1,1,8,>=6,1,3,9,0,0,0,34840.72226444322,2,0,1
0,1,1,4,4-6,1,3,7,0,1,1,37349.11349237853,2,0,2
1,1,1,6,>=6,1,4,8,1,1,0,23559.37774674372,3,0,2
1,0,1,1,0-2,1,3,7,0,0,1,50369.29690819668,3,1,1
1,1,1,5,4-6,1,4,10,1,0,0,44094.61601607266,2,0,2
1,0,0,0,0-2,0,1,5,0,0,0,27836.32277156386,2,1,1
1,0,0,3,2-4,0,2,10,0,0,0,30294.247452971686,2,0,3
1,0,0,0,0-2,0,2,5,0,1,1,57393.31109556697,1,0,1
1,0,1,4,4-6,1,3,8,0,0,0,39722.02079500782,3,0,2
1,0,0,5,4-6,0,2,4,0,0,0,21794.174935352334,3,1,1
0,1,1,4,4-6,1,3,7,0,0,0,22492.427035126057,1,0,2
1,0,0,3,2-4,1,2,6,0,0,1,41444.571398199936,3,0,1
0,1,1,1,0-2,0,4,5,1,1,2,47435.20309333347,2,0,3
0,0,1,4,4-6,1,3,6,0,0,0,9117.094828285874,2,0,2
0,0,0,2,2-4,0,0,6,0,0,0,37528.03259721202,1,1,2
1,0,0,2,2-4,1,3,9,0,0,1,43486.13831443734,1,0,0
0,1,1,9,>=6,1,2,7,0,0,0,54147.5463921436,2,0,2
0,1,0,1,0-2,0,1,4,0,1,1,19572.19026490327,1,1,1
1,1,1,4,4-6,1,4,9,1,0,1,25457.305118028617,3,0,1
0,1,1,4,4-6,1,4,7,1,1,1,60035.04654227231,2,0,1
0,0,0,0,0-2,0,2,4,0,0,0,60967.020043351054,0,0,1
1,0,1,7,>=6,1,2,4,0,0,1,30972.930545375584,3,1,3
0,0,1,2,2-4,0,4,8,1,1,0,39068.01610485973,2,1,3
1,0,0,2,2-4,0,1,4,0,0,1,41439.275558624766,2,0,2
0,0,1,6,>=6,0,4,8,1,1,3,48094.64956905933,2,0,2
1,0,0,2,2-4,0,3,6,0,0,0,30154.117014663192,2,1,1
0,0,1,5,4-6,0,2,5,0,0,0,21986.39260093396,0,1,1
1,0,0,0,0-2,1,2,7,0,0,0,19214.764611646897,2,0,1
0,1,0,1,0-2,0,3,5,0,0,0,21805.07861547759,1,4,1
0,1,1,0,0-2,0,2,6,0,0,0,40481.79711763569,0,1,3
0,0,0,1,0-2,0,1,5,0,0,0,26137.805545631352,0,0,0
1,1,1,8,>=6,1,3,7,0,0,1,42294.99211945925,3,0,2
0,0,1,4,4-6,0,3,7,0,0,2,9904.653633335805,1,1,2
1,1,1,4,4-6,1,2,5,0,0,0,27183.67735230178,3,0,2
1,1,1,3,2-4,1,1,4,0,0,1,39411.773220041025,2,0,2
0,1,0,2,2-4,1,1,6,0,0,0,21947.25342817908,2,0,0
1,0,0,1,0-2,0,2,8,0,0,0,33637.39053655455,0,0,0
0,0,0,1,0-2,0,3,7,0,0,0,36032.73865375311,1,1,2
1,1,1,2,2-4,1,3,7,0,1,0,36483.43134452801,2,0,2
0,0,0,1,0-2,0,3,7,0,0,1,25788.257738828423,0,1,1
1,1,1,2,2-4,1,3,6,0,0,1,12088.296848611477,3,0,1
0,1,1,4,4-6,0,3,8,0,1,3,33315.66375010644,1,1,2
1,0,1,1,0-2,1,2,6,0,0,0,21589.59059263017,3,0,1
1,1,0,3,2-4,1,2,8,0,0,0,37760.18169745161,3,1,1
0,0,0,6,>=6,0,1,4,0,0,0,3281.062694306376,1,1,2
1,1,1,7,>=6,1,2,3,0,0,1,47178.398169620756,2,0,3
0,0,1,6,>=6,0,3,7,0,0,2,34926.015141071766,0,2,2
1,0,1,5,4-6,1,3,7,0,1,0,29337.793112038362,3,0,1
1,0,1,4,4-6,0,2,6,0,0,1,37840.7213783757,2,0,2
0,0,0,3,2-4,0,2,5,0,0,0,0,2,1,1
1,0,1,0,0-2,1,4,8,1,1,2,18908.620244786704,3,1,3
0,1,0,3,2-4,1,3,8,0,0,1,74108.89862887481,0,1,1
1,0,1,4,4-6,1,3,6,0,1,0,46104.03114031224,3,0,2
0,1,0,1,0-2,1,2,5,0,0,1,9391.399027024388,1,1,1
1,0,0,3,2-4,1,2,6,0,1,0,40386.259272002964,1,0,1
0,1,1,5,4-6,0,4,8,1,0,3,25698.02358401974,2,0,2
0,1,0,1,0-2,0,2,8,0,0,2,0,3,0,2
0,0,0,3,2-4,1,2,5,0,0,0,15283.563549781908,2,0,2
0,0,1,5,4-6,1,2,8,0,0,2,13895.238207034316,1,0,2
0,1,1,7,>=6,1,2,7,0,0,2,46213.12625782357,1,1,1
1,0,0,2,2-4,0,2,8,0,0,1,40765.302363142226,1,0,1
0,0,0,2,2-4,0,2,6,0,0,0,14320.791510959845,2,0,1
1,1,0,4,4-6,1,2,6,0,0,2,2724.617302925748,2,1,2
0,0,0,0,0-2,0,2,8,0,0,1,47908.86119829565,0,2,1
1,0,1,8,>=6,1,2,6,0,0,0,44749.77257195217,3,0,1
1,0,1,5,4-6,1,1,5,0,1,1,29760.0561695411,2,0,2
1,0,0,2,2-4,1,1,5,0,0,0,43167.60112088832,1,0,2
0,0,0,3,2-4,0,0,4,0,0,0,39608.71044005747,1,0,1
1,0,1,4,4-6,1,4,9,1,0,0,37879.10350115742,3,0,0
1,0,0,5,4-6,0,1,4,0,0,0,20552.82000584826,3,0,1
0,1,0,5,4-6,1,4,7,1,0,0,34958.92159235243,0,0,1
1,0,1,2,2-4,0,2,5,0,0,1,49179.48866969772,3,0,1
1,0,1,2,2-4,1,3,7,0,1,1,31718.673212028792,3,1,2
1,1,1,5,4-6,1,3,6,0,0,0,29945.5541057094,2,0,2
1,1,1,8,>=6,1,3,6,0,0,0,48817.64922162826,2,0,2
0,0,1,2,2-4,0,2,7,0,0,0,10480.296300463782,1,1,2
1,1,1,4,4-6,1,4,10,1,1,0,2513.3065232119334,3,0,1
1,1,1,5,4-6,1,4,8,1,1,1,36609.06143293215,2,0,2
0,0,1,3,2-4,0,2,8,0,0,2,59061.58724803051,1,1,2
0,0,0,3,2-4,0,2,8,0,0,0,11580.536840004059,1,0,3
1,0,1,0,0-2,0,0,3,0,0,0,28041.6729607972,2,1,2
0,1,0,3,2-4,0,2,9,0,0,0,47264.85595834996,0,0,2
